Strategy,Scenario,TickRate,Seed,StepTimeNs,Stability,LeftWingHealth,EngineHealth,WingSevered
B_OBBHitboxes_Euler,high_g_maneuver_snapping,60,2,101.60,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,high_g_maneuver_snapping,60,3,101.43,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,high_g_maneuver_snapping,60,4,101.43,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,hydraulics_failure,60,0,103.17,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,hydraulics_failure,60,1,102.23,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,hydraulics_failure,60,2,102.17,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,hydraulics_failure,60,3,110.92,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,hydraulics_failure,60,4,102.87,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,pilot_sniping,60,0,102.25,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,pilot_sniping,60,1,105.38,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,pilot_sniping,60,2,101.55,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,pilot_sniping,60,3,101.72,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,pilot_sniping,60,4,101.63,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,direct_wing_hit,60,0,111.68,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,direct_wing_hit,60,1,111.35,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,direct_wing_hit,60,2,111.38,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,direct_wing_hit,60,3,114.93,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,direct_wing_hit,60,4,111.38,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,engine_fire_cascade,60,0,110.32,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,engine_fire_cascade,60,1,118.40,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,engine_fire_cascade,60,2,111.07,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,engine_fire_cascade,60,3,110.98,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,engine_fire_cascade,60,4,111.13,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,60,0,110.08,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,60,1,110.32,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,60,2,110.52,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,60,3,110.58,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,60,4,110.27,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,60,0,145.83,1,1.0000,1.0000,0
