2026-06-21-electronic-warfare-jamming — prototype benchmark
C++26 CPU analytical model; Clang -O3 -march=native target
5 strategies x 5 scenes x 5 seeds x 1000 iter = 125,000 main measurements

[E_HybridBarrageDeception] [strike_package_5a3j_escort] seed=3: wall=242.9 ns, det=15.0%, comms=0.3%, bt=71 m, pwr=75.00 W, ft=2424923.0
[E_HybridBarrageDeception] [strike_package_5a3j_escort] seed=4: wall=230.5 ns, det=15.0%, comms=0.3%, bt=71 m, pwr=75.00 W, ft=2614505.0
[E_HybridBarrageDeception] [strike_package_5a3j_escort] seed=5: wall=222.8 ns, det=15.0%, comms=0.3%, bt=71 m, pwr=75.00 W, ft=2625636.0
[E_HybridBarrageDeception] [ground_force_defense_10j5r] seed=1: wall=637.1 ns, det=15.0%, comms=8.6%, bt=92 m, pwr=100.00 W, ft=377675.0
[E_HybridBarrageDeception] [ground_force_defense_10j5r] seed=2: wall=661.6 ns, det=15.0%, comms=5.0%, bt=92 m, pwr=100.00 W, ft=474533.0
[E_HybridBarrageDeception] [ground_force_defense_10j5r] seed=3: wall=669.3 ns, det=15.0%, comms=3.5%, bt=92 m, pwr=100.00 W, ft=394052.0
[E_HybridBarrageDeception] [ground_force_defense_10j5r] seed=4: wall=689.8 ns, det=15.0%, comms=8.2%, bt=92 m, pwr=100.00 W, ft=431632.0
[E_HybridBarrageDeception] [ground_force_defense_10j5r] seed=5: wall=744.6 ns, det=15.0%, comms=4.8%, bt=92 m, pwr=100.00 W, ft=391386.0
[E_HybridBarrageDeception] [ew_duel_2j2r_freq_agile] seed=1: wall=158.9 ns, det=15.0%, comms=0.1%, bt=65 m, pwr=32.00 W, ft=2639926.0
[E_HybridBarrageDeception] [ew_duel_2j2r_freq_agile] seed=2: wall=153.8 ns, det=15.0%, comms=0.0%, bt=65 m, pwr=32.00 W, ft=4230848.0
[E_HybridBarrageDeception] [ew_duel_2j2r_freq_agile] seed=3: wall=145.4 ns, det=15.0%, comms=0.2%, bt=65 m, pwr=32.00 W, ft=2127696.0
[E_HybridBarrageDeception] [ew_duel_2j2r_freq_agile] seed=4: wall=149.7 ns, det=15.0%, comms=0.1%, bt=65 m, pwr=32.00 W, ft=3438958.0
[E_HybridBarrageDeception] [ew_duel_2j2r_freq_agile] seed=5: wall=151.4 ns, det=15.0%, comms=0.1%, bt=65 m, pwr=32.00 W, ft=2980322.0

Results written to build/results.csv (125,001 rows = 1 header + 125,000 data)
