strategy,scene,seed,iter,op,us,bytes,ok
B_ChunkedBinary_Raw,large_world,7,0,delta_load,1872.45,2930952,1
C_ChunkedBinary_Zstd,large_world,7,0,save,16281.51,1947094,1
C_ChunkedBinary_Zstd,large_world,7,0,load,5518.31,1947094,1
C_ChunkedBinary_Zstd,large_world,7,0,verify,84.30,0,1
C_ChunkedBinary_Zstd,large_world,7,0,mutate_save_0,20758.90,1947094,1
C_ChunkedBinary_Zstd,large_world,7,0,delta_load,5879.85,1947094,1
D_VersionedChunked_Delta_LZ4,large_world,7,0,save,15625.46,1932676,1
D_VersionedChunked_Delta_LZ4,large_world,7,0,load,5147.32,1932676,1
D_VersionedChunked_Delta_LZ4,large_world,7,0,verify,73.92,0,1
D_VersionedChunked_Delta_LZ4,large_world,7,0,mutate_save_0,20930.80,1932676,1
D_VersionedChunked_Delta_LZ4,large_world,7,0,delta_load,5867.90,1932676,1
E_ContentAddressed_Dedupe,large_world,7,0,save,77091.72,143060,1
E_ContentAddressed_Dedupe,large_world,7,0,load,23229.50,143060,1
E_ContentAddressed_Dedupe,large_world,7,0,verify,142.29,0,1
E_ContentAddressed_Dedupe,large_world,7,0,mutate_save_0,7010.15,143060,1
E_ContentAddressed_Dedupe,large_world,7,0,delta_load,21858.34,143060,1
A_FullJSON_SingleFile,large_world,42,0,save,37652.87,4200662,1
A_FullJSON_SingleFile,large_world,42,0,load,9048.75,4200662,1
A_FullJSON_SingleFile,large_world,42,0,verify,81.78,0,1
A_FullJSON_SingleFile,large_world,42,0,mutate_save_0,38569.96,4200662,1
A_FullJSON_SingleFile,large_world,42,0,delta_load,8330.17,4200662,1
B_ChunkedBinary_Raw,large_world,42,0,save,3452.49,2930952,1
B_ChunkedBinary_Raw,large_world,42,0,load,1507.93,2930952,1
B_ChunkedBinary_Raw,large_world,42,0,verify,67.95,0,1
B_ChunkedBinary_Raw,large_world,42,0,mutate_save_0,7788.85,2930952,1
B_ChunkedBinary_Raw,large_world,42,0,delta_load,1541.33,2930952,1
C_ChunkedBinary_Zstd,large_world,42,0,save,14417.22,1946082,1
C_ChunkedBinary_Zstd,large_world,42,0,load,5602.90,1946082,1
C_ChunkedBinary_Zstd,large_world,42,0,verify,94.35,0,1
C_ChunkedBinary_Zstd,large_world,42,0,mutate_save_0,19638.44,1946082,1
C_ChunkedBinary_Zstd,large_world,42,0,delta_load,5790.18,1946082,1
D_VersionedChunked_Delta_LZ4,large_world,42,0,save,15347.82,1931672,1
D_VersionedChunked_Delta_LZ4,large_world,42,0,load,5254.43,1931672,1
D_VersionedChunked_Delta_LZ4,large_world,42,0,verify,102.85,0,1
D_VersionedChunked_Delta_LZ4,large_world,42,0,mutate_save_0,20647.72,1931672,1
