shader,mode,toolchain,iter,compile_ms,spv_size_bytes,validation_pass,spirv_inst_count
voxel_mesh_minimal.mesh,debug,dxc,1,16.310,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,2,14.418,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,3,15.149,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,4,15.563,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,5,13.736,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,6,15.104,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,7,16.432,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,8,15.808,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,9,14.666,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,10,14.902,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,11,15.182,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,12,14.804,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,13,15.393,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,14,15.256,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,15,13.697,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,16,14.865,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,17,15.855,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,18,14.168,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,19,14.450,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,20,14.937,9044,1,410
voxel_mesh_minimal.mesh,optimize,glslc,1,117.610,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,2,115.070,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,3,123.655,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,4,121.267,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,5,119.385,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,6,138.822,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,7,120.919,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,8,115.321,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,9,112.413,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,10,110.925,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,11,118.684,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,12,123.079,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,13,123.305,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,14,144.474,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,15,155.343,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,16,128.380,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,17,135.644,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,18,131.779,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,19,125.196,6804,1,393
voxel_mesh_minimal.mesh,optimize,glslc,20,126.653,6804,1,393
voxel_mesh_minimal.mesh,optimize,dxc,1,14.558,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,2,13.085,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,3,15.310,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,4,13.143,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,5,14.150,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,6,13.331,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,7,14.094,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,8,13.617,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,9,13.766,3904,1,234
