strategy,scene,seed,iter,time_ns,count,components,plausibility
A_UniformRandom,stratified_3layer,2,11,6030,59,33,0.0000
A_UniformRandom,stratified_3layer,2,12,5230,51,40,0.0000
A_UniformRandom,stratified_3layer,2,13,4580,64,46,0.0000
A_UniformRandom,stratified_3layer,2,14,4370,57,43,0.0000
A_UniformRandom,stratified_3layer,2,15,4450,59,39,0.0000
A_UniformRandom,stratified_3layer,2,16,4290,53,37,0.0000
A_UniformRandom,stratified_3layer,2,17,4880,72,54,0.0000
A_UniformRandom,stratified_3layer,2,18,4600,59,33,0.0000
A_UniformRandom,stratified_3layer,2,19,5650,55,39,0.0000
A_UniformRandom,stratified_3layer,2,20,5330,47,34,0.0000
A_UniformRandom,stratified_3layer,2,21,6499,66,37,0.0000
A_UniformRandom,stratified_3layer,2,22,6040,64,45,0.0000
A_UniformRandom,stratified_3layer,2,23,6250,59,41,0.0000
A_UniformRandom,stratified_3layer,2,24,5600,56,41,0.0000
A_UniformRandom,stratified_3layer,2,25,5540,49,36,0.0000
A_UniformRandom,stratified_3layer,2,26,5690,63,46,0.0000
A_UniformRandom,stratified_3layer,2,27,5990,66,47,0.0000
A_UniformRandom,stratified_3layer,2,28,5690,53,36,0.0000
A_UniformRandom,stratified_3layer,2,29,5940,64,43,0.0000
A_UniformRandom,stratified_3layer,2,30,5620,62,49,0.0000
A_UniformRandom,stratified_3layer,2,31,5720,58,43,0.0000
A_UniformRandom,stratified_3layer,2,32,5850,57,38,0.0000
A_UniformRandom,stratified_3layer,2,33,6210,66,43,0.0000
A_UniformRandom,stratified_3layer,2,34,6020,63,38,0.0000
A_UniformRandom,stratified_3layer,2,35,4080,51,41,0.0000
A_UniformRandom,stratified_3layer,2,36,4830,67,42,0.0000
A_UniformRandom,stratified_3layer,2,37,4340,60,47,0.0000
A_UniformRandom,stratified_3layer,2,38,4030,49,37,0.0000
A_UniformRandom,stratified_3layer,2,39,4760,68,40,0.0000
A_UniformRandom,stratified_3layer,2,40,3980,48,38,0.0000
A_UniformRandom,stratified_3layer,2,41,4330,59,43,0.0000
A_UniformRandom,stratified_3layer,2,42,4540,66,47,0.0000
A_UniformRandom,stratified_3layer,2,43,4250,55,39,0.0000
A_UniformRandom,stratified_3layer,2,44,4190,51,34,0.0000
A_UniformRandom,stratified_3layer,2,45,4740,67,41,0.0000
A_UniformRandom,stratified_3layer,2,46,4770,70,46,0.0000
A_UniformRandom,stratified_3layer,2,47,4440,62,44,0.0000
A_UniformRandom,stratified_3layer,2,48,4390,61,44,0.0000
A_UniformRandom,stratified_3layer,2,49,4680,70,45,0.0000
A_UniformRandom,stratified_3layer,3,0,4380,55,36,0.0000
A_UniformRandom,stratified_3layer,3,1,4730,68,49,0.0000
A_UniformRandom,stratified_3layer,3,2,4550,63,46,0.0000
A_UniformRandom,stratified_3layer,3,3,4940,69,37,0.0000
A_UniformRandom,stratified_3layer,3,4,4550,64,40,0.0000
A_UniformRandom,stratified_3layer,3,5,3860,43,34,0.0000
A_UniformRandom,stratified_3layer,3,6,4480,57,36,0.0000
A_UniformRandom,stratified_3layer,3,7,4270,57,41,0.0000
A_UniformRandom,stratified_3layer,3,8,4940,78,53,0.0000
A_UniformRandom,stratified_3layer,3,9,4380,62,51,0.0000
A_UniformRandom,stratified_3layer,3,10,4560,63,41,0.0000
A_UniformRandom,stratified_3layer,3,11,3870,45,35,0.0000
A_UniformRandom,stratified_3layer,3,12,4330,56,35,0.0000
A_UniformRandom,stratified_3layer,3,13,5060,79,46,0.0000
A_UniformRandom,stratified_3layer,3,14,4190,52,38,0.0000
A_UniformRandom,stratified_3layer,3,15,4660,65,42,0.0000
A_UniformRandom,stratified_3layer,3,16,3770,39,30,0.0000
A_UniformRandom,stratified_3layer,3,17,4000,47,38,0.0000
A_UniformRandom,stratified_3layer,3,18,5320,85,51,0.0000
A_UniformRandom,stratified_3layer,3,19,4420,59,42,0.0000
A_UniformRandom,stratified_3layer,3,20,4580,65,42,0.0000
A_UniformRandom,stratified_3layer,3,21,4150,54,42,0.0000
A_UniformRandom,stratified_3layer,3,22,4320,59,45,0.0000
A_UniformRandom,stratified_3layer,3,23,4060,51,37,0.0000
A_UniformRandom,stratified_3layer,3,24,4610,66,42,0.0000
A_UniformRandom,stratified_3layer,3,25,4820,76,54,0.0000
